date,year,month,TREE,UNIDENTIFIED,WEED,GRASS,MOLD
2022-10-11,2022,10,2.0,2.0,,2.0,0
2022-10-12,2022,10,,,,,0
2022-10-13,2022,10,,,2.0,,0
2022-10-14,2022,10,2.0,,,4.0,0
2022-10-15,2022,10,,4.0,13.0,,0
2022-10-16,2022,10,,2.0,8.0,,0
2022-10-17,2022,10,2.0,,7.0,2.0,0
2022-10-18,2022,10,2.0,,6.0,,0
2022-10-19,2022,10,2.0,,4.0,,0
2022-10-20,2022,10,2.0,,4.0,4.0,0
2022-10-21,2022,10,,,4.0,,0
2022-10-22,2022,10,,,4.0,,0
2022-10-23,2022,10,,,,,0
2022-10-24,2022,10,,,7.0,,0
2022-10-25,2022,10,,,,,0
2022-10-26,2022,10,,,,,0
2022-10-27,2022,10,,,,,0
2022-10-28,2022,10,,,2.0,,0
2022-10-29,2022,10,,,,,0
2022-10-30,2022,10,,,,,0
2022-10-31,2022,10,,,,,0
2023-03-01,2023,3,15.0,,2.0,,0
2023-03-02,2023,3,13.0,,2.0,,0
2023-03-03,2023,3,31.0,,,,0
2023-03-04,2023,3,6.0,,,,0
2023-03-05,2023,3,15.0,,,,0
2023-03-06,2023,3,20.0,,,,0
2023-03-07,2023,3,4.0,,,,0
2023-03-08,2023,3,4.0,,,,0
2023-03-09,2023,3,17.0,,,,0
2023-03-10,2023,3,22.0,,,,0
2023-03-11,2023,3,19.0,,,,0
2023-03-12,2023,3,9.0,,,,0
2023-03-13,2023,3,11.0,,,,0
2023-03-14,2023,3,4.0,,,,0
2023-03-15,2023,3,26.0,,,,0
2023-03-17,2023,3,214.0,,,,0
2023-03-18,2023,3,202.0,,2.0,,0
2023-03-19,2023,3,8.0,2.0,,,0
2023-03-20,2023,3,13.0,,,,0
2023-03-21,2023,3,136.0,,,,0
2023-03-22,2023,3,132.0,2.0,,,0
2023-03-23,2023,3,217.0,,2.0,2.0,0
2023-03-24,2023,3,77.0,,,,0
2023-03-25,2023,3,54.0,7.0,,,0
2023-03-26,2023,3,46.0,,2.0,,0
2023-03-27,2023,3,73.0,2.0,2.0,2.0,0
2023-03-28,2023,3,24.0,,2.0,,0
2023-03-29,2023,3,30.0,2.0,2.0,,0
2023-03-30,2023,3,30.0,,,,0
2023-03-31,2023,3,99.0,,,,0
2023-04-01,2023,4,228.0,,9.0,,0
2023-04-02,2023,4,167.0,2.0,,,0
2023-04-03,2023,4,50.0,2.0,4.0,,0
2023-04-04,2023,4,102.0,4.0,,,0
2023-04-05,2023,4,532.0,,,,0
2023-04-06,2023,4,109.0,13.0,,,0
2023-04-07,2023,4,54.0,,2.0,,0
2023-04-08,2023,4,30.0,,,,0
2023-04-09,2023,4,30.0,2.0,,,0
2023-04-10,2023,4,47.0,,4.0,,0
2023-04-11,2023,4,109.0,7.0,,,0
2023-04-12,2023,4,309.0,9.0,,4.0,0
2023-04-13,2023,4,263.0,9.0,,2.0,0
2023-04-14,2023,4,610.0,22.0,,,0
2023-04-15,2023,4,1011.0,4.0,,,0
2023-04-16,2023,4,1941.0,17.0,,,0
2023-04-17,2023,4,1282.0,13.0,7.0,,0
2023-04-18,2023,4,572.0,11.0,,2.0,0
2023-04-19,2023,4,162.0,9.0,,,0
2023-04-20,2023,4,422.0,4.0,2.0,,0
2023-04-21,2023,4,689.0,4.0,,2.0,0
2023-04-22,2023,4,510.0,4.0,,4.0,0
2023-04-23,2023,4,382.0,,,,0
2023-04-24,2023,4,166.0,2.0,,,0
2023-04-25,2023,4,196.0,4.0,,,0
2023-04-26,2023,4,321.0,4.0,4.0,,0
2023-04-27,2023,4,134.0,9.0,,2.0,0
2023-04-28,2023,4,336.0,13.0,2.0,2.0,0
2023-04-29,2023,4,11.0,,,,0
2023-04-30,2023,4,7.0,,,,0
2023-05-01,2023,5,320.0,7.0,2.0,4.0,0
2023-05-02,2023,5,90.0,4.0,13.0,2.0,0
2023-05-03,2023,5,87.0,,,,0
2023-05-04,2023,5,91.0,,,,0
2023-05-05,2023,5,218.0,9.0,6.0,,0
2023-05-06,2023,5,475.0,7.0,2.0,,0
2023-05-09,2023,5,184.0,18.0,,4.0,0
2023-05-10,2023,5,53.0,4.0,2.0,,0
2023-05-11,2023,5,213.0,15.0,2.0,2.0,0
2023-05-12,2023,5,148.0,11.0,2.0,11.0,0
2023-05-13,2023,5,129.0,9.0,2.0,4.0,0
2023-05-14,2023,5,126.0,2.0,2.0,7.0,0
2023-05-15,2023,5,74.0,4.0,2.0,4.0,0
2023-05-16,2023,5,286.0,9.0,,2.0,0
2023-05-18,2023,5,20.0,,2.0,,0
2023-05-19,2023,5,35.0,7.0,2.0,,0
2023-05-20,2023,5,8.0,,2.0,,0
2023-05-21,2023,5,126.0,11.0,2.0,4.0,0
2023-05-22,2023,5,92.0,4.0,2.0,2.0,0
2023-05-23,2023,5,28.0,2.0,2.0,4.0,0
2023-05-24,2023,5,30.0,4.0,,,0
2023-05-25,2023,5,6.0,2.0,,4.0,0
2023-05-26,2023,5,70.0,4.0,2.0,2.0,0
2023-05-27,2023,5,84.0,9.0,9.0,2.0,0
2023-05-28,2023,5,23.0,,2.0,,0
2023-05-29,2023,5,306.0,7.0,9.0,11.0,0
2023-05-30,2023,5,73.0,4.0,,4.0,0
2023-05-31,2023,5,13.0,2.0,,,0
2023-06-01,2023,6,8.0,2.0,2.0,4.0,0
2023-06-02,2023,6,68.0,2.0,4.0,,0
2023-06-03,2023,6,110.0,7.0,2.0,4.0,0
2023-06-04,2023,6,142.0,13.0,2.0,13.0,0
2023-06-05,2023,6,74.0,9.0,,11.0,0
2023-06-06,2023,6,112.0,13.0,2.0,13.0,0
2023-06-07,2023,6,197.0,20.0,,7.0,0
2023-06-08,2023,6,64.0,,4.0,11.0,0
2023-06-09,2023,6,19.0,2.0,,,0
2023-06-10,2023,6,13.0,4.0,4.0,4.0,0
2023-06-11,2023,6,12.0,2.0,4.0,2.0,0
2023-06-12,2023,6,8.0,,2.0,4.0,0
2023-06-13,2023,6,18.0,,,2.0,0
2023-06-14,2023,6,11.0,2.0,7.0,7.0,0
2023-06-15,2023,6,4.0,7.0,13.0,2.0,0
2023-06-16,2023,6,,2.0,,4.0,0
2023-06-17,2023,6,15.0,9.0,2.0,2.0,0
2023-06-18,2023,6,10.0,2.0,11.0,2.0,0
2023-06-19,2023,6,4.0,7.0,4.0,4.0,0
2023-06-20,2023,6,4.0,2.0,2.0,,0
2023-06-21,2023,6,6.0,4.0,4.0,2.0,0
2023-06-22,2023,6,6.0,2.0,8.0,2.0,0
2023-06-23,2023,6,,9.0,,,0
2023-06-24,2023,6,,2.0,2.0,,0
2023-06-25,2023,6,2.0,2.0,,4.0,0
2023-06-26,2023,6,4.0,2.0,,2.0,0
2023-06-27,2023,6,2.0,,2.0,,0
2023-06-28,2023,6,,,,2.0,0
2023-06-29,2023,6,2.0,,2.0,2.0,0
2023-06-30,2023,6,,,4.0,2.0,0
2023-07-01,2023,7,4.0,2.0,,,0
2023-07-02,2023,7,10.0,2.0,,,0
2023-07-03,2023,7,2.0,2.0,7.0,2.0,0
2023-07-04,2023,7,2.0,,2.0,,0
2023-07-05,2023,7,,4.0,2.0,,0
2023-07-06,2023,7,,,2.0,,0
2023-07-07,2023,7,,,,,0
2023-07-08,2023,7,,,4.0,,0
2023-07-09,2023,7,4.0,4.0,6.0,,0
2023-07-10,2023,7,,,8.0,,0
2023-07-11,2023,7,4.0,,10.0,2.0,0
2023-07-12,2023,7,7.0,2.0,13.0,13.0,0
2023-07-13,2023,7,16.0,2.0,13.0,9.0,0
2023-07-14,2023,7,4.0,2.0,,2.0,0
2023-07-15,2023,7,6.0,,,,0
2023-07-16,2023,7,,2.0,,4.0,0
2023-07-17,2023,7,10.0,,4.0,,0
2023-07-18,2023,7,4.0,,15.0,,0
2023-07-19,2023,7,,,6.0,2.0,0
2023-07-20,2023,7,4.0,2.0,30.0,9.0,0
2023-07-21,2023,7,4.0,,13.0,,0
2023-07-22,2023,7,,,40.0,2.0,0
2023-07-23,2023,7,2.0,,30.0,2.0,0
2023-07-24,2023,7,,,4.0,,0
2023-07-25,2023,7,,2.0,9.0,2.0,0
2023-07-26,2023,7,4.0,2.0,2.0,,0
2023-07-27,2023,7,,,8.0,,0
2023-07-28,2023,7,2.0,,9.0,,0
2023-07-29,2023,7,,,4.0,2.0,0
2023-07-30,2023,7,,2.0,11.0,,0
2023-07-31,2023,7,,,15.0,,0
2023-08-01,2023,8,,,9.0,,0
2023-08-02,2023,8,2.0,,11.0,2.0,0
2023-08-03,2023,8,4.0,,22.0,,0
2023-08-04,2023,8,,2.0,11.0,,0
2023-08-05,2023,8,2.0,2.0,19.0,,0
2023-08-06,2023,8,,,53.0,2.0,0
2023-08-07,2023,8,4.0,,2.0,,0
2023-08-08,2023,8,,,8.0,2.0,0
2023-08-09,2023,8,,,35.0,2.0,0
2023-08-10,2023,8,1.0,,9.0,2.0,0
2023-08-11,2023,8,,,9.0,2.0,0
2023-08-12,2023,8,,2.0,17.0,2.0,0
2023-08-13,2023,8,,2.0,4.0,,0
2023-08-14,2023,8,,,10.0,4.0,0
2023-08-15,2023,8,,,4.0,,0
2023-08-16,2023,8,,,,2.0,0
2023-08-17,2023,8,,,11.0,2.0,0
2023-08-18,2023,8,2.0,,11.0,,0
2023-08-19,2023,8,,,9.0,,0
2023-08-20,2023,8,2.0,,4.0,,0
2023-08-21,2023,8,,,2.0,2.0,0
2023-08-22,2023,8,,4.0,22.0,4.0,0
2023-08-23,2023,8,2.0,,7.0,2.0,0
2023-08-24,2023,8,,,4.0,,0
2023-08-25,2023,8,,,4.0,,0
2023-08-26,2023,8,2.0,,21.0,2.0,0
2023-08-27,2023,8,4.0,2.0,10.0,2.0,0
2023-08-28,2023,8,,,6.0,2.0,0
2023-08-29,2023,8,,4.0,10.0,2.0,0
2023-08-30,2023,8,,,29.0,29.0,0
2023-08-31,2023,8,,2.0,13.0,4.0,0
2023-09-01,2023,9,,,4.0,,0
2023-09-02,2023,9,,,6.0,22.0,0
2023-09-03,2023,9,,2.0,16.0,53.0,0
2023-09-04,2023,9,,,14.0,35.0,0
2023-09-05,2023,9,,2.0,6.0,7.0,0
2023-09-06,2023,9,,,,4.0,0
2023-09-07,2023,9,15.0,2.0,6.0,15.0,0
2023-09-08,2023,9,2.0,2.0,6.0,4.0,0
2023-09-10,2023,9,,,,7.0,0
2023-09-11,2023,9,,,6.0,2.0,0
2023-09-12,2023,9,,,41.0,11.0,0
2023-09-13,2023,9,,,13.0,,0
2023-09-14,2023,9,,,,,0
2023-09-15,2023,9,,,6.0,2.0,0
2023-09-16,2023,9,2.0,2.0,11.0,7.0,0
2023-09-17,2023,9,4.0,,26.0,,0
2023-09-18,2023,9,7.0,,7.0,,0
2023-09-19,2023,9,4.0,,13.0,,0
2023-09-20,2023,9,4.0,,2.0,,0
2023-09-21,2023,9,9.0,,4.0,,0
2023-09-22,2023,9,,,2.0,,0
2023-09-23,2023,9,4.0,,18.0,38.0,0
2023-09-24,2023,9,,,,,0
2023-09-25,2023,9,4.0,,2.0,,0
2023-09-26,2023,9,11.0,,2.0,,0
2023-09-27,2023,9,11.0,2.0,,,0
2023-09-28,2023,9,2.0,,2.0,,0
2023-09-29,2023,9,,,,,0
2023-09-30,2023,9,13.0,,,,0
2023-10-01,2023,10,4.0,,6.0,,0
2023-10-02,2023,10,9.0,,2.0,2.0,0
2023-10-03,2023,10,,,7.0,,0
2023-10-04,2023,10,2.0,,,,0
2023-10-05,2023,10,,,4.0,,0
2023-10-06,2023,10,,,2.0,,0
2023-10-07,2023,10,,,,,0
2023-10-08,2023,10,2.0,,6.0,,0
2023-10-09,2023,10,,,2.0,,0
2023-10-10,2023,10,4.0,2.0,,,0
2023-10-11,2023,10,,,4.0,,0
2023-10-12,2023,10,,,4.0,,0
2023-10-13,2023,10,,,,,0
2023-10-14,2023,10,,,,,0
2023-10-15,2023,10,,,2.0,,0
2023-10-16,2023,10,,,,,0
2023-10-17,2023,10,,,,,0
2023-10-18,2023,10,,,,,0
2023-10-19,2023,10,,,,,0
2023-10-20,2023,10,2.0,,2.0,,0
2023-10-21,2023,10,,2.0,,2.0,0
2023-10-22,2023,10,,,4.0,2.0,0
2023-10-23,2023,10,,,,,0
2023-10-24,2023,10,,,,,0
2023-10-25,2023,10,,,,,0
2023-10-26,2023,10,,,,,0
2023-10-27,2023,10,,,,,0
2023-10-28,2023,10,,,,2.0,0
2023-10-29,2023,10,4.0,,,,0
2023-10-30,2023,10,,2.0,,,0
2023-10-31,2023,10,2.0,,,,0
2024-03-01,2024,3,29.0,,,,0
2024-03-02,2024,3,,,,,0
2024-03-04,2024,3,17.0,,,,0
2024-03-05,2024,3,4.0,,,,0
2024-03-06,2024,3,2.0,,,,0
2024-03-07,2024,3,20.0,,,,0
2024-03-08,2024,3,51.0,,,,0
2024-03-09,2024,3,53.0,,,,0
2024-03-10,2024,3,4.0,,,,0
2024-03-11,2024,3,6.0,,,,0
2024-03-12,2024,3,85.0,2.0,,,0
2024-03-13,2024,3,138.0,2.0,,,0
2024-03-14,2024,3,178.0,2.0,,,0
2024-03-15,2024,3,99.0,,,,0
2024-03-16,2024,3,53.0,,,,0
2024-03-17,2024,3,38.0,,,,0
2024-03-18,2024,3,19.0,,,,0
2024-03-19,2024,3,4.0,,,,0
2024-03-20,2024,3,18.0,,,,0
2024-03-21,2024,3,8.0,,,,0
2024-03-22,2024,3,6.0,,,,0
2024-03-23,2024,3,11.0,,,,0
2024-03-24,2024,3,13.0,,4.0,,0
2024-03-25,2024,3,6.0,,,,0
2024-03-26,2024,3,11.0,,,,0
2024-03-27,2024,3,4.0,,,,0
2024-03-28,2024,3,4.0,,,,0
2024-03-29,2024,3,61.0,,,,0
2024-03-30,2024,3,4.0,,,,0
2024-03-31,2024,3,95.0,,,,0
2024-04-01,2024,4,22.0,,,,0
2024-04-02,2024,4,4.0,,2.0,,0
2024-04-03,2024,4,,,,,0
2024-04-04,2024,4,20.0,2.0,,,0
2024-04-05,2024,4,6.0,2.0,,,0
2024-04-06,2024,4,9.0,,,,0
2024-04-07,2024,4,17.0,,,2.0,0
2024-04-08,2024,4,13.0,,,,0
2024-04-10,2024,4,13.0,,,,0
2024-04-11,2024,4,13.0,2.0,,,0
2024-04-12,2024,4,62.0,2.0,,2.0,0
2024-04-13,2024,4,17.0,,,,0
2024-04-14,2024,4,147.0,4.0,2.0,9.0,0
2024-04-15,2024,4,195.0,2.0,,2.0,0
2024-04-16,2024,4,162.0,,7.0,,0
2024-04-17,2024,4,521.0,11.0,2.0,11.0,0
2024-04-18,2024,4,125.0,2.0,4.0,,0
2024-04-19,2024,4,194.0,,,2.0,0
2024-04-20,2024,4,489.0,,2.0,2.0,0
2024-04-21,2024,4,168.0,4.0,7.0,2.0,0
2024-04-22,2024,4,183.0,7.0,7.0,2.0,0
2024-04-23,2024,4,219.0,4.0,,,0
2024-04-24,2024,4,116.0,2.0,,2.0,0
2024-04-25,2024,4,123.0,2.0,,,0
2024-04-26,2024,4,44.0,2.0,2.0,2.0,0
2024-04-27,2024,4,81.0,,,,0
2024-04-28,2024,4,154.0,,,,0
2024-04-29,2024,4,470.0,2.0,,2.0,0
2024-04-30,2024,4,526.0,2.0,,2.0,0
2024-05-01,2024,5,283.0,,2.0,4.0,0
2024-05-02,2024,5,452.0,,,,0
2024-05-03,2024,5,248.0,2.0,,,0
2024-05-04,2024,5,172.0,,,11.0,0
2024-05-05,2024,5,67.0,,,2.0,0
2024-05-06,2024,5,204.0,2.0,4.0,2.0,0
2024-05-07,2024,5,857.0,,50.0,6.0,0
2024-05-08,2024,5,253.0,7.0,4.0,20.0,0
2024-05-09,2024,5,286.0,,9.0,4.0,0
2024-05-10,2024,5,108.0,,4.0,2.0,0
2024-05-11,2024,5,100.0,,,2.0,0
2024-05-12,2024,5,60.0,,,,0
2024-05-13,2024,5,53.0,,3.0,,0
2024-05-16,2024,5,123.0,,,13.0,0
2024-05-17,2024,5,80.0,2.0,,7.0,0
2024-05-18,2024,5,55.0,,,11.0,0
2024-05-19,2024,5,20.0,4.0,4.0,4.0,0
2024-05-20,2024,5,26.0,,,2.0,0
2024-05-21,2024,5,151.0,9.0,2.0,9.0,0
2024-05-22,2024,5,273.0,9.0,8.0,35.0,0
2024-05-23,2024,5,199.0,4.0,11.0,18.0,0
2024-05-24,2024,5,590.0,7.0,15.0,29.0,0
2024-05-25,2024,5,303.0,2.0,18.0,66.0,0
2024-05-26,2024,5,94.0,2.0,18.0,20.0,0
2024-05-27,2024,5,17.0,,2.0,2.0,0
2024-05-28,2024,5,69.0,7.0,4.0,9.0,0
2024-05-29,2024,5,31.0,4.0,14.0,11.0,0
2024-05-30,2024,5,147.0,,2.0,18.0,0
2024-05-31,2024,5,244.0,4.0,11.0,15.0,0
2024-06-01,2024,6,99.0,7.0,19.0,40.0,0
2024-06-02,2024,6,24.0,2.0,4.0,22.0,0
2024-06-03,2024,6,51.0,,4.0,4.0,0
2024-06-04,2024,6,110.0,,2.0,,0
2024-06-05,2024,6,,,,,0
2024-06-06,2024,6,2.0,,2.0,,0
2024-06-07,2024,6,15.0,,,7.0,0
2024-06-08,2024,6,,,2.0,,0
2024-06-09,2024,6,6.0,,6.0,2.0,0
2024-06-10,2024,6,6.0,,8.0,,0
2024-06-11,2024,6,2.0,,2.0,2.0,0
2024-06-12,2024,6,4.0,,15.0,,0
2024-06-13,2024,6,4.0,,10.0,9.0,0
2024-06-14,2024,6,2.0,2.0,15.0,,0
2024-06-15,2024,6,7.0,2.0,12.0,13.0,0
2024-06-16,2024,6,41.0,,6.0,13.0,0
2024-06-17,2024,6,8.0,,4.0,4.0,0
2024-06-18,2024,6,2.0,,4.0,2.0,0
2024-06-19,2024,6,6.0,,,,0
2024-06-20,2024,6,,4.0,9.0,4.0,0
2024-06-21,2024,6,4.0,4.0,6.0,2.0,0
2024-06-22,2024,6,6.0,,6.0,2.0,0
2024-06-23,2024,6,4.0,4.0,2.0,11.0,0
